date,home_team,away_team,team,scorer,minute,own_goal,penalty
2021-03-24,Antigua and Barbuda,Montserrat,Montserrat,Lyle Taylor,7,FALSE,TRUE
2021-03-24,Antigua and Barbuda,Montserrat,Antigua and Barbuda,Eugene Kirwan,23,FALSE,FALSE
2021-03-24,Antigua and Barbuda,Montserrat,Montserrat,Lyle Taylor,26,FALSE,FALSE
2021-03-24,Antigua and Barbuda,Montserrat,Antigua and Barbuda,D'Andre Bishop,45,FALSE,FALSE
2021-03-24,Belgium,Wales,Wales,Harry Wilson,11,FALSE,FALSE
2021-03-24,Belgium,Wales,Belgium,Kevin De Bruyne,22,FALSE,FALSE
2021-03-24,Belgium,Wales,Belgium,Thorgan Hazard,28,FALSE,FALSE
2021-03-24,Belgium,Wales,Belgium,Romelu Lukaku,73,FALSE,TRUE
2021-03-24,Dominican Republic,Dominica,Dominican Republic,Fran Núñez,52,FALSE,FALSE
2021-03-24,Estonia,Czech Republic,Estonia,Rauno Sappinen,12,FALSE,FALSE
2021-03-24,Estonia,Czech Republic,Czech Republic,Patrik Schick,18,FALSE,FALSE
2021-03-24,Estonia,Czech Republic,Czech Republic,Antonín Barák,27,FALSE,FALSE
2021-03-24,Estonia,Czech Republic,Czech Republic,Tomáš Souček,32,FALSE,FALSE
2021-03-24,Estonia,Czech Republic,Czech Republic,Tomáš Souček,43,FALSE,FALSE
2021-03-24,Estonia,Czech Republic,Czech Republic,Tomáš Souček,48,FALSE,FALSE
2021-03-24,Estonia,Czech Republic,Czech Republic,Jakub Jankto,56,FALSE,FALSE
2021-03-24,Estonia,Czech Republic,Estonia,Henri Anier,86,FALSE,FALSE
2021-03-24,Finland,Bosnia and Herzegovina,Bosnia and Herzegovina,Miralem Pjanić,55,FALSE,FALSE
2021-03-24,Finland,Bosnia and Herzegovina,Finland,Teemu Pukki,58,FALSE,FALSE
2021-03-24,Finland,Bosnia and Herzegovina,Finland,Teemu Pukki,77,FALSE,FALSE
2021-03-24,Finland,Bosnia and Herzegovina,Bosnia and Herzegovina,Miroslav Stevanović,84,FALSE,FALSE
2021-03-24,France,Ukraine,France,Antoine Griezmann,19,FALSE,FALSE
2021-03-24,France,Ukraine,Ukraine,Serhiy Sydorchuk,57,FALSE,FALSE
2021-03-24,Gibraltar,Norway,Norway,Alexander Sørloth,43,FALSE,FALSE
2021-03-24,Gibraltar,Norway,Norway,Kristian Thorstvedt,45,FALSE,FALSE
2021-03-24,Gibraltar,Norway,Norway,Jonas Svensson,57,FALSE,FALSE
2021-03-24,Guatemala,Cuba,Guatemala,Luis Martínez,59,FALSE,FALSE
2021-03-24,Latvia,Montenegro,Latvia,Jānis Ikaunieks,40,FALSE,FALSE
2021-03-24,Latvia,Montenegro,Montenegro,Stevan Jovetić,41,FALSE,FALSE
2021-03-24,Latvia,Montenegro,Montenegro,Stevan Jovetić,83,FALSE,FALSE
2021-03-24,Malta,Russia,Russia,Artem Dzyuba,23,FALSE,FALSE
2021-03-24,Malta,Russia,Russia,Mário Fernandes,35,FALSE,FALSE
